Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
142,0.856617,657731,3.25107,913.804,-84.9307,0,917.742,2.76405,0.0368639,0,2.76429,66446.7,-0.250891,270.274,1066.76,-99.1467,0,1071.36
143,0.853128,655159,3.25496,910.337,-85.6185,0,914.354,2.79539,0.0339328,0,2.7956,66068.8,-0.253609,269.836,1067.06,-100.358,0,1071.77
144,0.849914,652790,3.25855,907.142,-86.2404,0,911.232,2.82673,0.0309687,0,2.8269,65721.3,-0.256109,269.432,1067.33,-101.47,0,1072.15
145,0.846976,650624,3.26185,904.22,-86.7976,0,908.376,2.85806,0.0279745,0,2.8582,65403.9,-0.258392,269.061,1067.59,-102.479,0,1072.49
146,0.844313,648660,3.26486,901.571,-87.2908,0,905.787,2.8894,0.0249531,0,2.8895,65116.7,-0.260458,268.724,1067.82,-103.387,0,1072.81
147,0.841927,646900,3.26756,899.197,-87.721,0,903.466,2.92073,0.0219074,0,2.92081,64859.6,-0.262308,268.422,1068.02,-104.191,0,1073.09
148,0.839818,645345,3.26996,897.099,-88.0889,0,901.414,2.95206,0.0188404,0,2.95212,64632.5,-0.263941,268.154,1068.21,-104.89,0,1073.34
149,0.837987,643993,3.27205,895.277,-88.3952,0,899.631,2.98338,0.015755,0,2.98342,64435.4,-0.265359,267.92,1068.37,-105.485,0,1073.56
150,0.836432,642846,3.27382,893.732,-88.6403,0,898.117,3.01471,0.0126544,0,3.01473,64268.3,-0.266561,267.722,1068.51,-105.974,0,1073.75
151,0.835156,641905,3.27529,892.465,-88.8248,0,896.875,3.04603,0.0095415,0,3.04605,64131.2,-0.267547,267.559,1068.62,-106.357,0,1073.9
152,0.834159,641168,3.27643,891.476,-88.9492,0,895.903,3.07736,0.00641931,0,3.07736,64023.9,-0.268318,267.431,1068.71,-106.633,0,1074.02
153,0.83344,640637,3.27726,890.766,-89.0137,0,895.202,3.10868,0.00329088,0,3.10868,63946.6,-0.268875,267.339,1068.78,-106.803,0,1074.11
154,1.04562,795430,3.0121,1092.52,-0.0935482,0,1092.52,3.1772,0.00015608,0,3.1772,89869.7,-0.0824015,299.472,1044.85,-0.0894666,0,1044.85
155,1.09634,832315,2.96687,1139.41,-0.0975637,0,1139.41,3.2144,0.000152895,0,3.2144,96092.1,-0.0376421,305.393,1039.28,-0.0889901,0,1039.28
156,1.11842,848313,2.94831,1159.72,-0.0993029,0,1159.72,3.2516,0.000149709,0,3.2516,98816,-0.018048,307.85,1036.93,-0.0887883,0,1036.93
157,1.12812,855326,2.94035,1168.62,-0.100065,0,1168.62,3.2888,0.000146524,0,3.2888,100015,-0.00942118,308.907,1035.9,-0.0887005,0,1035.9
158,1.13245,858454,2.93683,1172.59,-0.100405,0,1172.59,3.326,0.000143339,0,3.326,100551,-0.00556642,309.375,1035.44,-0.0886614,0,1035.44
159,1.13444,859890,2.93522,1174.41,-0.100561,0,1174.41,3.3632,0.000140153,0,3.3632,100797,-0.00379508,309.589,1035.23,-0.0886435,0,1035.23
160,1.1354,860582,2.93445,1175.29,-0.100636,0,1175.29,3.4004,0.000136968,0,3.4004,100916,-0.0029411,309.692,1035.13,-0.0886349,0,1035.13
161,1.1359,860941,2.93405,1175.75,-0.100675,0,1175.75,3.4376,0.000133783,0,3.4376,100978,-0.00249714,309.746,1035.08,-0.0886304,0,1035.08
162,1.13618,861148,2.93382,1176.01,-0.100698,0,1176.01,3.4748,0.000130598,0,3.4748,101013,-0.00224147,309.776,1035.05,-0.0886278,0,1035.05
163,1.13637,861282,2.93367,1176.18,-0.100712,0,1176.18,3.512,0.000127412,0,3.512,101036,-0.00207612,309.796,1035.03,-0.0886261,0,1035.03
164,1.1365,861379,2.93356,1176.3,-0.100723,0,1176.3,3.5492,0.000124227,0,3.5492,101053,-0.00195703,309.811,1035.02,-0.0886249,0,1035.02
165,1.13661,861454,2.93347,1176.4,-0.100731,0,1176.4,3.5864,0.000121042,0,3.5864,101066,-0.00186383,309.822,1035.01,-0.088624,0,1035.01
166,1.13669,861517,2.9334,1176.48,-0.100738,0,1176.48,3.6236,0.000117856,0,3.6236,101077,-0.00178664,309.831,1035,-0.0886232,0,1035
167,1.13677,861570,2.93334,1176.54,-0.100743,0,1176.54,3.6608,0.000114671,0,3.6608,101086,-0.00172039,309.839,1034.99,-0.0886225,0,1034.99
168,1.13683,861617,2.93329,1176.6,-0.100748,0,1176.6,3.698,0.000111486,0,3.698,101094,-0.00166221,309.846,1034.98,-0.088622,0,1034.98
